绿皮书,2018,剧情 喜剧 传记 音乐,8.9,1493750,去除成见，需要勇气。
辩护人,2013,剧情,9.2,549675,电影的现实意义大过电影本身。
狮子王,1994,动画 冒险 歌舞,9.1,769912,动物版《哈姆雷特》。
搏击俱乐部,1999,剧情 动作 悬疑 惊悚,9.0,785290,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。
饮食男女,1994,剧情 家庭,9.2,564716,人生不能像做菜，把所有的料都准备好了才下锅。
美丽心灵,2001,传记 剧情,9.1,711259,爱是一切逻辑和原由。
本杰明·巴顿奇事,2008,剧情 爱情 奇幻,9.0,912449,在时间之河里感受溺水之苦。
窃听风暴,2006,剧情 悬疑,9.2,521577,别样人生。
穿条纹睡衣的男孩,2008,剧情 战争,9.2,507497,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。
情书,1995,剧情 爱情,8.9,1001265,暗恋的极致。
两杆大烟枪,1998,剧情 喜剧 犯罪,9.1,554637,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。
西西里的美丽传说,2000,剧情 战争 情色,8.9,903315,美丽无罪。
看不见的客人,2016,剧情 犯罪 悬疑 惊悚,8.8,1153208,你以为你以为的就是你以为的。
音乐之声,1965,剧情 传记 爱情 歌舞,9.1,554435,用音乐化解仇恨，让歌声串起美好。
拯救大兵瑞恩,1998,剧情 战争,9.1,598600,美利坚精神输出大片No1.
飞越疯人院,1975,剧情,9.1,514230,自由万岁。
小鞋子,1997,剧情 儿童 家庭,9.2,377097,奔跑的孩子是天使。
阿凡达,2009,动作 科幻 冒险,8.8,1282144,绝对意义上的美轮美奂。
哈利·波特与死亡圣器(下),2011,奇幻 冒险,8.9,752962,10年的完美句点。
沉默的羔羊,1991,剧情 犯罪 惊悚,8.9,810847,安东尼·霍普金斯的顶级表演。
致命魔术,2006,剧情 悬疑 惊悚,8.9,792935,孪生蝙蝠侠大战克隆金刚狼。
海豚湾,2009,纪录片,9.3,339327,海豚的微笑，是世界上最高明的伪装。
禁闭岛,2010,剧情 悬疑 惊悚,8.9,891978,昔日翩翩少年，今日大腹便便。
布达佩斯大饭店,2014,剧情 喜剧 冒险,8.9,846662,小清新的故事里注入了大历史的情怀。
蝴蝶效应,2004,剧情 悬疑 科幻 惊悚,8.9,865032,人的命运被自己瞬间的抉择改变。
美国往事,1984,犯罪 剧情,9.2,382152,往事如烟，无处祭奠。
心灵捕手,1997,剧情,8.9,654298,人生中应该拥有这样的一段豁然开朗。
低俗小说,1994,剧情 喜剧 犯罪,8.9,768540,故事的高级讲法。
春光乍泄,1997,剧情 爱情 同性,9.0,581725,爱情纠缠，男女一致。
摩登时代,1936,剧情 喜剧 爱情,9.3,274215,大时代中的人生，小人物的悲喜。
喜剧之王,1999,喜剧 剧情 爱情,8.8,891004,我是一个演员。
七宗罪,1995,剧情 犯罪 悬疑 惊悚,8.8,882600,警察抓小偷，老鼠玩死猫。
功夫,2004,动作 喜剧 犯罪 奇幻,8.8,1001595,警恶惩奸，维护世界和平这个任务就交给你了，好吗？
致命ID,2003,剧情 悬疑 惊悚,8.8,751523,最不可能的那个人永远是最可能的。
超脱,2011,剧情,9.0,515028,穷尽一生，我们要学会的，不过是彼此拥抱。
哈利·波特与阿兹卡班的囚徒,2004,奇幻 冒险,8.9,642462,不一样的导演，不一样的哈利·波特。
杀人回忆,2003,剧情 动作 犯罪 悬疑 惊悚,8.9,644370,关于连环杀人悬案的集体回忆。
加勒比海盗,2003,动作 冒险 奇幻,8.8,796792,约翰尼·德普的独角戏。
红辣椒,2006,动画 悬疑 科幻 惊悚,9.1,413159,梦的勾结。
被嫌弃的松子的一生,2006,剧情 歌舞,8.9,660595,以戏谑来戏谑戏谑。
狩猎,2012,剧情,9.1,354211,人言可畏。
请以你的名字呼唤我,2017,剧情 爱情 同性,8.9,658350,沉醉在电影的情感和视听氛围中无法自拔。
7号房的礼物,2013,剧情 喜剧 家庭,8.9,510268,《我是山姆》的《美丽人生》。
剪刀手爱德华,1990,剧情 奇幻 爱情,8.7,978168,浪漫忧郁的成人童话。
断背山,2005,剧情 爱情 同性 家庭,8.8,662858,每个人心中都有一座断背山。
勇敢的心,1995,动作 传记 剧情 历史 战争,8.9,530767,史诗大片的典范。
唐伯虎点秋香,1993,喜剧 爱情 古装,8.7,986714,华太师是黄霑，吴镇宇四大才子之一。
入殓师,2008,剧情,8.9,614966,死可能是一道门，逝去并不是终结，而是超越，走向下一程。
一一,2000,剧情 爱情 家庭,9.1,345426,我们都曾经是一一。
哈利·波特与密室,2002,奇幻 冒险,8.8,668620,魔法的密室之门已打开...
第六感,1999,剧情 悬疑 惊悚,8.9,512934,深入内心的恐怖，出人意料的结局。
爱在黎明破晓前,1995,剧情 爱情,8.8,612228,缘分是个连绵词，最美不过一瞬。
重庆森林,1994,剧情 爱情,8.8,742844,寂寞没有期限。
天使爱美丽,2001,剧情 喜剧 爱情,8.7,913519,法式小清新。 
蝙蝠侠：黑暗骑士崛起,2012,剧情 动作 科幻 犯罪 惊悚,8.8,666681,诺兰就是保证。
幽灵公主,1997,动画 奇幻 冒险,8.9,486291,人与自然的战争史诗。
小森林 夏秋篇,2014,剧情,9.0,394335,那些静得只能听见呼吸的日子里，你明白孤独即生活。
菊次郎的夏天,1999,剧情 喜剧,8.9,546447,从没见过那么流氓的温柔，从没见过那么温柔的流氓。
阳光灿烂的日子,1994,剧情 爱情,8.9,569605,一场华丽的意淫。
超能陆战队,2014,喜剧 动作 科幻 动画 冒险,8.7,933387,Balalala~~~
完美的世界,1993,剧情 犯罪,9.1,285133,坏人的好总是比好人的好来得更感人。
无人知晓,2004,剧情,9.1,290108,我的平常生活就是他人的幸福。
爱在日落黄昏时,2004,剧情 爱情,8.9,504473,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。
消失的爱人,2014,剧情 犯罪 悬疑 惊悚,8.7,855587,年度最佳date movie。
借东西的小人阿莉埃蒂,2010,动画 奇幻 冒险,8.9,507187,曾经的那段美好会沉淀为一辈子的记忆。
甜蜜蜜,1996,剧情 爱情,8.9,485464,相逢只要一瞬间，等待却像是一辈子。
小森林 冬春篇,2015,剧情,9.0,352095,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。
倩女幽魂,1987,爱情 奇幻 武侠 古装,8.8,678047,两张绝世的脸。 
侧耳倾听,1995,剧情 爱情 动画,8.9,425700,少女情怀总是诗。
时空恋旅人,2013,喜剧 爱情 奇幻,8.8,598272,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。
幸福终点站,2004,喜剧 剧情 爱情,8.8,519769,有时候幸福需要等一等。 
驯龙高手,2010,动画 奇幻 冒险,8.8,700380,和谐的生活离不开摸头与被摸头。
萤火之森,2011,剧情 爱情 动画 奇幻,8.9,487570,触不到的恋人。
怪兽电力公司,2001,儿童 喜剧 动画 奇幻 冒险,8.8,612621,不要给它起名字，起了名字就有感情了。
玛丽和马克思,2009,剧情 喜剧 动画,8.9,400295,你是我最好的朋友，你是我唯一的朋友 。
教父3,1990,剧情 犯罪,9.0,338199,任何信念的力量，都无法改变命运。
一个叫欧维的男人决定去死,2015,剧情,8.9,420628,惠及一生的美丽。
寄生虫,2019,剧情,8.8,1267063,跨度十五年的欢乐与泪水。
大鱼,2003,剧情 家庭 奇幻 冒险,8.8,530332,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。
傲慢与偏见,2005,剧情 爱情,8.7,729242,爱是摈弃傲慢与偏见之后的曙光。
告白,2010,剧情 悬疑,8.8,631616,没有一人完全善，也没有一人完全恶。
神偷奶爸,2010,喜剧 动画 冒险,8.6,881161,Mr. I Don&#39;t Care其实也有Care的时候。
未麻的部屋,1997,动画 奇幻 惊悚,9.0,291669,好的剧本是，就算你猜到了结局也猜不到全部。
釜山行,2016,动作 惊悚 灾难,8.6,1101710,揭露人性的丧尸题材力作。
被解救的姜戈,2012,剧情 动作 西部 冒险,8.8,561093,热血沸腾，那个低俗、性感的无耻混蛋又来了。
阳光姐妹淘,2011,剧情 喜剧,8.8,560540,再多各自牛逼的时光，也比不上一起傻逼的岁月。 
射雕英雄传之东成西就,1993,喜剧 奇幻 武侠 古装,8.7,588470,百看不厌。 
哈利·波特与火焰杯,2005,悬疑 奇幻 冒险,8.7,582275,想你时你在闹海。
恐怖直播,2013,剧情 犯罪 悬疑,8.7,602422,恐怖分子的“秋菊打官司”。
我是山姆,2001,剧情 家庭,9.0,309999,爱并不需要智商 。
头号玩家,2018,动作 科幻 冒险,8.7,1266451,写给影迷，动漫迷和游戏迷的一封情书。
血战钢锯岭,2016,剧情 传记 历史 战争,8.7,732653,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。
新世界,2013,剧情 犯罪,8.9,368562,要做就做得狠一点，这样才能活下去。
模仿游戏,2014,剧情 传记 战争 同性,8.8,592273,他给机器起名“克里斯托弗”，因为这是他初恋的名字。
喜宴,1993,剧情 喜剧 爱情 同性 家庭,9.0,324213,中国家庭的喜怒哀乐忍。
七武士,1954,动作 冒险 剧情,9.3,180167,时代悲歌。
花样年华,2000,剧情 爱情,8.7,548006,偷情本没有这样美。
黑客帝国3：矩阵革命,2003,动作 科幻,8.8,415453,不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。
头脑特工队,2015,喜剧 动画 冒险,8.8,558118,愿我们都不用长大，每一座城堡都能永远存在。
电锯惊魂,2004,悬疑 惊悚 恐怖,8.7,486811,真相就在眼前。
三块广告牌,2017,剧情 犯罪,8.7,764676,怼天怼地，你走后，她与世界为敌。
达拉斯买家俱乐部,2013,剧情 传记 同性,8.8,420616,Jared Leto的腿比女人还美！
卢旺达饭店,2004,剧情 传记 历史 战争,8.9,301626,当这个世界闭上双眼，他却敞开了怀抱。
你的名字。,2016,剧情 爱情 动画,8.5,1281355,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。
九品芝麻官,1994,剧情 喜剧 古装,8.7,601946,老少皆宜，这就是好莱坞动画的魅力。
上帝之城,2002,犯罪 剧情,9.0,281630,被上帝抛弃了的上帝之城。
谍影重重3,2007,动作 悬疑 惊悚,8.8,389522,像吃了苏打饼一样干脆的电影。
惊魂记,1960,悬疑 惊悚 恐怖,9.0,256392,故事的反转与反转，分裂电影的始祖。
风之谷,1984,动画 奇幻 冒险,8.9,333502,动画片的圣经。
心迷宫,2014,剧情 犯罪 悬疑,8.7,473317,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。
英雄本色,1986,剧情 动作 犯罪,8.6,490822,英雄泪短，兄弟情长。 
纵横四海,1991,剧情 喜剧 动作 犯罪,8.8,387381,香港浪漫主义警匪动作片的巅峰之作。
海街日记,2015,剧情 家庭,8.8,408262,是枝裕和的家庭习作。
岁月神偷,2010,剧情 家庭,8.7,545275,岁月流逝，来日可追。
记忆碎片,2000,犯罪 剧情 悬疑 惊悚,8.7,561500,一个针管引发的血案。
忠犬八公物语,1987,剧情,9.2,178075,养狗三日，便会对你终其一生。
爱在午夜降临前,2013,剧情 爱情,8.9,356186,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。
荒蛮故事,2014,剧情 喜剧 犯罪,8.8,407907,始于荒诞，止于更荒诞。
